Name;Question;Description;Default;Validity;Visibility;Constraint
AssembleMountedCBFilterTankSModuleRack1;Do you want to install AssembleMountedCBFilterTankSModuleRack1?;AssembleMountedCBFilterTankSModuleRack1 description;;;CBFilterTankSModule & Rack1 & FillFilterTankSModuleCB &  - AssembleMountedCAFilterTankSModuleIronFrame &  - AssembleMountedCBFilterTankSModuleIronFrame &  - AssembleMountedCAFilterTankSModuleRack1 &  - AssembleMountedCAFilterTankXLModuleRack2 &  - AssembleMountedCBFilterTankXLModuleRack2;(AssembleMountedCBFilterTankSModuleRack1 ~  - AssembleMountedCBFilterTankXLModuleRack2) & (AssembleMountedCBFilterTankSModuleRack1 ~  - AssembleMountedCAFilterTankSModuleIronFrame) & (AssembleMountedCBFilterTankSModuleRack1 ~  - AssembleMountedCAFilterTankSModuleRack1) & (AssembleMountedCBFilterTankSModuleRack1 ~ CBFilterTankSModule) & (AssembleMountedCBFilterTankSModuleRack1 ~  - AssembleMountedCAFilterTankXLModuleRack2) & (AssembleMountedCBFilterTankSModuleRack1 ~  - AssembleMountedCBFilterTankSModuleIronFrame) & (AssembleMountedCBFilterTankSModuleRack1 ~ Rack1) & (AssembleMountedCBFilterTankSModuleRack1 ~ AssembleMountedFilterTank)
AssembleMountedCBFilterTankXLModuleRack2;Do you want to install AssembleMountedCBFilterTankXLModuleRack2?;AssembleMountedCBFilterTankXLModuleRack2 description;;;CBFilterTankXLModule & Rack2 & FillFilterTankXLModuleCB &  - AssembleMountedCAFilterTankSModuleIronFrame &  - AssembleMountedCBFilterTankSModuleIronFrame &  - AssembleMountedCAFilterTankSModuleRack1 &  - AssembleMountedCBFilterTankSModuleRack1 &  - AssembleMountedCAFilterTankXLModuleRack2;(AssembleMountedCBFilterTankXLModuleRack2 ~ CBFilterTankXLModule) & (AssembleMountedCBFilterTankXLModuleRack2 ~ Rack2) & (AssembleMountedCBFilterTankXLModuleRack2 ~ AssembleMountedFilterTank) & (AssembleMountedCBFilterTankXLModuleRack2 ~  - AssembleMountedCAFilterTankSModuleIronFrame) & (AssembleMountedCBFilterTankXLModuleRack2 ~  - AssembleMountedCBFilterTankSModuleRack1) & (AssembleMountedCBFilterTankXLModuleRack2 ~  - AssembleMountedCAFilterTankSModuleRack1) & (AssembleMountedCBFilterTankXLModuleRack2 ~  - AssembleMountedCBFilterTankSModuleIronFrame) & (AssembleMountedCBFilterTankXLModuleRack2 ~  - AssembleMountedCAFilterTankXLModuleRack2)
AssembleMountedFilterTank;Do you want to install AssembleMountedFilterTank?;AssembleMountedFilterTank description;;;AssembleMountedFilterTank &  - AssembleMountedFilterTank;
AssembleMountedFreshwaterTank;Do you want to install AssembleMountedFreshwaterTank?;AssembleMountedFreshwaterTank description;;;AssembleMountedFreshwaterTank &  - AssembleMountedFreshwaterTank;
AssembleMountedFreshwaterTankSIronFrame;Do you want to install AssembleMountedFreshwaterTankSIronFrame?;AssembleMountedFreshwaterTankSIronFrame description;;;FreshwaterTankSModule & IronFrame & AssembleFreshwaterTankSModule &  - AssembleMountedFreshwaterTankSRack1 &  - AssembleMountedFreshwaterTankXLRack2;(AssembleMountedFreshwaterTankSIronFrame ~  - AssembleMountedFreshwaterTankSRack1) & (AssembleMountedFreshwaterTankSIronFrame ~ AssembleMountedFreshwaterTank) & (AssembleMountedFreshwaterTankSIronFrame ~ FreshwaterTankSModule) & (AssembleMountedFreshwaterTankSIronFrame ~ IronFrame) & (AssembleMountedFreshwaterTankSIronFrame ~  - AssembleMountedFreshwaterTankXLRack2)
AssembleMountedFreshwaterTankSRack1;Do you want to install AssembleMountedFreshwaterTankSRack1?;AssembleMountedFreshwaterTankSRack1 description;;;FreshwaterTankSModule & Rack1 & AssembleFreshwaterTankSModule &  - AssembleMountedFreshwaterTankSIronFrame &  - AssembleMountedFreshwaterTankXLRack2;(AssembleMountedFreshwaterTankSRack1 ~  - AssembleMountedFreshwaterTankXLRack2) & (AssembleMountedFreshwaterTankSRack1 ~  - AssembleMountedFreshwaterTankSIronFrame) & (AssembleMountedFreshwaterTankSRack1 ~ FreshwaterTankSModule) & (AssembleMountedFreshwaterTankSRack1 ~ Rack1) & (AssembleMountedFreshwaterTankSRack1 ~ AssembleMountedFreshwaterTank)
AssembleMountedFreshwaterTankXLRack2;Do you want to install AssembleMountedFreshwaterTankXLRack2?;AssembleMountedFreshwaterTankXLRack2 description;;;FreshwaterTankXLModule & Rack2 & AssembleFreshwaterTankXLModule &  - AssembleMountedFreshwaterTankSIronFrame &  - AssembleMountedFreshwaterTankSRack1;(AssembleMountedFreshwaterTankXLRack2 ~ AssembleMountedFreshwaterTank) & (AssembleMountedFreshwaterTankXLRack2 ~ FreshwaterTankXLModule) & (AssembleMountedFreshwaterTankXLRack2 ~  - AssembleMountedFreshwaterTankSIronFrame) & (AssembleMountedFreshwaterTankXLRack2 ~  - AssembleMountedFreshwaterTankSRack1) & (AssembleMountedFreshwaterTankXLRack2 ~ Rack2)
AssembleMountedNanofilter;Do you want to install AssembleMountedNanofilter?;AssembleMountedNanofilter description;;;AssembleMountedNanofilter &  - AssembleMountedNanofilter;
AssembleMountedNanofilterRack1;Do you want to install AssembleMountedNanofilterRack1?;AssembleMountedNanofilterRack1 description;;;Nanofilter & Rack1 & AssembleNanofilter &  - AssembleMountedNanofilterRack2;(AssembleMountedNanofilterRack1 ~ Nanofilter) & (AssembleMountedNanofilterRack1 ~ AssembleMountedNanofilter) & (AssembleMountedNanofilterRack1 ~ Rack1) & (AssembleMountedNanofilterRack1 ~  - AssembleMountedNanofilterRack2)
AssembleMountedNanofilterRack2;Do you want to install AssembleMountedNanofilterRack2?;AssembleMountedNanofilterRack2 description;;;Nanofilter & Rack2 & AssembleNanofilter &  - AssembleMountedNanofilterRack1;(AssembleMountedNanofilterRack2 ~ Nanofilter) & (AssembleMountedNanofilterRack2 ~ AssembleMountedNanofilter) & (AssembleMountedNanofilterRack2 ~ Rack2) & (AssembleMountedNanofilterRack2 ~  - AssembleMountedNanofilterRack1)
AssembleMountedWastewaterTankXLRack2;Do you want to install AssembleMountedWastewaterTankXLRack2?;AssembleMountedWastewaterTankXLRack2 description;;;WastewaterTankXLModule & Rack2 & AssembleWastewaterTankXLModule;(AssembleMountedWastewaterTankXLRack2 ~ WastewaterTankXLModule) & (AssembleMountedWastewaterTankXLRack2 ~ Rack2)
AssembleNanofilter;Do you want to install AssembleNanofilter?;AssembleNanofilter description;;;NanofilterHull & NanofilterMaterial & Nanofilter;(AssembleNanofilter ~ NanofilterHull) & (AssembleNanofilter ~ NanofilterMaterial)
AssembleWastewaterTankXLModule;Do you want to install AssembleWastewaterTankXLModule?;AssembleWastewaterTankXLModule description;;;WastewaterTankXL & Valve2 & WastewaterTankXLModule;(AssembleWastewaterTankXLModule ~ WastewaterTankXL) & (AssembleWastewaterTankXLModule ~ Valve2)
CAFilterTankSModule;Will the Product CAFilterTankSModule will be used?;CAFilterTankSModule description;;;CAFilterTankSModule &  - CAFilterTankSModule;(CAFilterTankSModule ~  - CBFilterTankSModule) & (CAFilterTankSModule ~ FilterTankS) & (CAFilterTankSModule ~ FilterTankSModule) & (CAFilterTankSModule ~ CharcoalActive)
CAFilterTankXLModule;Will the Product CAFilterTankXLModule will be used?;CAFilterTankXLModule description;;;CAFilterTankXLModule &  - CAFilterTankXLModule;(CAFilterTankXLModule ~ FilterTankXL) & (CAFilterTankXLModule ~ CharcoalActive) & (CAFilterTankXLModule ~  - CBFilterTankXLModule) & (CAFilterTankXLModule ~ FilterTankXLModule)
CBFilterTankSModule;Will the Product CBFilterTankSModule will be used?;CBFilterTankSModule description;;;CBFilterTankSModule &  - CBFilterTankSModule;(CBFilterTankSModule ~ FilterTankS) & (CBFilterTankSModule ~ FilterTankSModule) & (CBFilterTankSModule ~  - CAFilterTankSModule) & (CBFilterTankSModule ~ CharcoalBone)
CBFilterTankXLModule;Will the Product CBFilterTankXLModule will be used?;CBFilterTankXLModule description;;;CBFilterTankXLModule &  - CBFilterTankXLModule;(CBFilterTankXLModule ~  - CAFilterTankXLModule) & (CBFilterTankXLModule ~ FilterTankXL) & (CBFilterTankXLModule ~ FilterTankXLModule) & (CBFilterTankXLModule ~ CharcoalBone)
Charcoal;Will the Product Charcoal will be used?;Charcoal description;;;Charcoal &  - Charcoal;
CharcoalActive;Will the Product CharcoalActive will be used?;CharcoalActive description;;;CharcoalActive &  - CharcoalActive;(CharcoalActive ~ Charcoal) & (CharcoalActive ~  - CharcoalBone)
CharcoalBone;Will the Product CharcoalBone will be used?;CharcoalBone description;;;CharcoalBone &  - CharcoalBone;(CharcoalBone ~  - CharcoalActive) & (CharcoalBone ~ Charcoal)
FibreMembrane;Will the Product FibreMembrane will be used?;FibreMembrane description;;;FibreMembrane &  - FibreMembrane;( - FibreMembrane ~ FibreMembrane)
FillFilterTankSModuleCA;Do you want to install FillFilterTankSModuleCA?;FillFilterTankSModuleCA description;;;FilterTankS & CharcoalActive & CAFilterTankSModule &  - FillFilterTankSModuleCB;(FillFilterTankSModuleCA ~ FilterTankS) & (FillFilterTankSModuleCA ~  - FillFilterTankSModuleCB) & (FillFilterTankSModuleCA ~ FillFilterTankSModuleCharcoal) & (FillFilterTankSModuleCA ~ CharcoalActive)
FillFilterTankSModuleCB;Do you want to install FillFilterTankSModuleCB?;FillFilterTankSModuleCB description;;;FilterTankS & CharcoalBone &  - FillFilterTankSModuleCA;(FillFilterTankSModuleCB ~ FilterTankS) & (FillFilterTankSModuleCB ~ FillFilterTankSModuleCharcoal) & (FillFilterTankSModuleCB ~  - FillFilterTankSModuleCA) & (FillFilterTankSModuleCB ~ CharcoalBone)
FillFilterTankSModuleCharcoal;Do you want to install FillFilterTankSModuleCharcoal?;FillFilterTankSModuleCharcoal description;;;FillFilterTankSModuleCharcoal &  - FillFilterTankSModuleCharcoal;(FillFilterTankSModuleCharcoal ~  - FillFilterTankXLModuleCharcoal) & (FillFilterTankSModuleCharcoal ~ FilterTankS)
FillFilterTankSand;Do you want to install FillFilterTankSand?;FillFilterTankSand description;;;FilterTank & Sand & FilterTank;(FillFilterTankSand ~ FilterTank) & (FillFilterTankSand ~ Sand)
FillFilterTankXLModuleCA;Do you want to install FillFilterTankXLModuleCA?;FillFilterTankXLModuleCA description;;;FilterTankXLModule & CharcoalActive & CAFilterTankXLModule &  - FillFilterTankXLModuleCB;(FillFilterTankXLModuleCA ~ FillFilterTankXLModuleCharcoal) & (FillFilterTankXLModuleCA ~  - FillFilterTankXLModuleCB) & (FillFilterTankXLModuleCA ~ CharcoalActive) & (FillFilterTankXLModuleCA ~ FilterTankXLModule)
FillFilterTankXLModuleCB;Do you want to install FillFilterTankXLModuleCB?;FillFilterTankXLModuleCB description;;;FilterTankXL & CharcoalBone & CBFilterTankXLModule &  - FillFilterTankXLModuleCA;(FillFilterTankXLModuleCB ~ FillFilterTankXLModuleCharcoal) & (FillFilterTankXLModuleCB ~ CharcoalBone) & (FillFilterTankXLModuleCB ~  - FillFilterTankXLModuleCA) & (FillFilterTankXLModuleCB ~ FilterTankXL)
FillFilterTankXLModuleCharcoal;Do you want to install FillFilterTankXLModuleCharcoal?;FillFilterTankXLModuleCharcoal description;;;FillFilterTankXLModuleCharcoal &  - FillFilterTankXLModuleCharcoal;(FillFilterTankXLModuleCharcoal ~  - FillFilterTankSModuleCharcoal) & (FillFilterTankXLModuleCharcoal ~ FilterTankXL) & (FillFilterTankXLModuleCharcoal ~ Sand)
FilterTank;Will the Product FilterTank will be used?;FilterTank description;;;FilterTank &  - FilterTank;(FilterTank ~ FillFilterTankSand) & (FilterTank ~ Sand)
FilterTankModule;Will the Product FilterTankModule will be used?;FilterTankModule description;;;FilterTankModule &  - FilterTankModule;( - FilterTankModule ~ FilterTankModule) & (FilterTankModule ~ FilterTank)
FilterTankS;Will the Product FilterTankS will be used?;FilterTankS description;;;FilterTankS &  - FilterTankS;(FilterTankS ~ FilterTank) & (FilterTankS ~  - FilterTankXL)
FilterTankSModule;Will the Product FilterTankSModule will be used?;FilterTankSModule description;;;FilterTankSModule &  - FilterTankSModule;(FilterTankSModule ~  - FilterTankXLModule) & (FilterTankSModule ~ FilterTankModule) & (FilterTankSModule ~ FilterTankS)
FilterTankXL;Will the Product FilterTankXL will be used?;FilterTankXL description;;;FilterTankXL &  - FilterTankXL;(FilterTankXL ~  - FilterTankS) & (FilterTankXL ~ FilterTank)
FilterTankXLModule;Will the Product FilterTankXLModule will be used?;FilterTankXLModule description;;;FilterTankXLModule &  - FilterTankXLModule;(FilterTankXLModule ~ FillFilterTankXLModuleCA) & (FilterTankXLModule ~  - FilterTankSModule) & (FilterTankXLModule ~ FilterTankXL) & (FilterTankXLModule ~ FilterTankModule)
FreshwaterTank;Will the Product FreshwaterTank will be used?;FreshwaterTank description;;;FreshwaterTank &  - FreshwaterTank;
